nt 102600001
NFil 2 
irLigand 2.250000
brLigand 1.000000
Force 0.000000
kdimer 0.000000
dimerDist0 1.000000
baseSepDistance 1.000000
POcclude[nf][iy] 0 13 9.056020e-01
1-POcclude[nf][iy] 0 13 9.439805e-02
PMembraneOcclude[nf][iy] 0 13 0.000000e+00
Prvec0[nf][iy] 0 13 7.845381e-03
rMiSiteBar[nf][iy] 0 13 0.002983
rM2iSiteBar[nf][iy] 0 13 4.593342
iSite[nf][iy] 0 14 14
POcclude[nf][iy] 0 14 9.054838e-01
1-POcclude[nf][iy] 0 14 9.451620e-02
PMembraneOcclude[nf][iy] 0 14 0.000000e+00
Prvec0[nf][iy] 0 14 6.980989e-03
rMiSiteBar[nf][iy] 0 14 0.003547
rM2iSiteBar[nf][iy] 0 14 4.925517
iSite[nf][iy] 0 15 15
POcclude[nf][iy] 0 15 9.028390e-01
1-POcclude[nf][iy] 0 15 9.716100e-02
PMembraneOcclude[nf][iy] 0 15 0.000000e+00
Prvec0[nf][iy] 0 15 6.369652e-03
rMiSiteBar[nf][iy] 0 15 0.004275
rM2iSiteBar[nf][iy] 0 15 5.260463
iSite[nf][iy] 0 16 16
POcclude[nf][iy] 0 16 9.032709e-01
1-POcclude[nf][iy] 0 16 9.672907e-02
PMembraneOcclude[nf][iy] 0 16 0.000000e+00
Prvec0[nf][iy] 0 16 5.846388e-03
rMiSiteBar[nf][iy] 0 16 0.004208
rM2iSiteBar[nf][iy] 0 16 5.590109
iSite[nf][iy] 0 17 17
POcclude[nf][iy] 0 17 9.021107e-01
1-POcclude[nf][iy] 0 17 9.788931e-02
PMembraneOcclude[nf][iy] 0 17 0.000000e+00
Prvec0[nf][iy] 0 17 5.337977e-03
rMiSiteBar[nf][iy] 0 17 0.003473
rM2iSiteBar[nf][iy] 0 17 5.926792
iSite[nf][iy] 0 18 18
POcclude[nf][iy] 0 18 9.001444e-01
1-POcclude[nf][iy] 0 18 9.985559e-02
PMembraneOcclude[nf][iy] 0 18 0.000000e+00
Prvec0[nf][iy] 0 18 4.956323e-03
rMiSiteBar[nf][iy] 0 18 0.003454
rM2iSiteBar[nf][iy] 0 18 6.257099
iSite[nf][iy] 0 19 19
POcclude[nf][iy] 0 19 8.990386e-01
1-POcclude[nf][iy] 0 19 1.009614e-01
PMembraneOcclude[nf][iy] 0 19 0.000000e+00
Prvec0[nf][iy] 0 19 4.581691e-03
rMiSiteBar[nf][iy] 0 19 0.003371
rM2iSiteBar[nf][iy] 0 19 6.588873
iSite[nf][iy] 0 20 20
POcclude[nf][iy] 0 20 8.961404e-01
1-POcclude[nf][iy] 0 20 1.038596e-01
PMembraneOcclude[nf][iy] 0 20 0.000000e+00
Prvec0[nf][iy] 0 20 4.432368e-03
rMiSiteBar[nf][iy] 0 20 0.003600
rM2iSiteBar[nf][iy] 0 20 6.925962
iSite[nf][iy] 0 21 21
POcclude[nf][iy] 0 21 8.929235e-01
1-POcclude[nf][iy] 0 21 1.070765e-01
PMembraneOcclude[nf][iy] 0 21 0.000000e+00
Prvec0[nf][iy] 0 21 4.151222e-03
rMiSiteBar[nf][iy] 0 21 0.003869
rM2iSiteBar[nf][iy] 0 21 7.261962
iSite[nf][iy] 0 22 22
POcclude[nf][iy] 0 22 8.899769e-01
